id,Title,Date,Creator,Description,Provider,Thumbnail,URL
a4188f4610ae5e77e543c38cbe8f32ea,Untitled [fishing for Valentines],,,"A woman sits in a tree holding a fishing pole. Men swim in the water in front of her.; McAllister, John A. (John Allister), 1822-1896, collector.",The Library Company of Philadelphia,https://dp.la/thumb/a4188f4610ae5e77e543c38cbe8f32ea,https://digital.librarycompany.org/islandora/object/digitool%3A6254
ae378e84e5990544ded58f162177567c,"Valentines with young girls, flowers, and dogs.",,,,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Print Collection. The New York Public Library",https://dp.la/thumb/ae378e84e5990544ded58f162177567c,https://digitalcollections.nypl.org/items/c669dd70-c5c4-012f-4d8b-58d385a7bc34
b4273a00ecb86e90baa904af8868b0b4,Cat Banjo Valentines Greeting Card,,,"A valentine's day bifold card that was sent to Miss Loulie Garrett in Madison, N.C. and then forwarded to her in Ridgeway, Virginia. This card was sent from Stoneville, N.C. The front of the card depi…",Rockingham County Public Library,https://dp.la/thumb/b4273a00ecb86e90baa904af8868b0b4,https://lib.digitalnc.org/record/100979
bb0f5632a51285fed3a35ac8fc428062,Valentines depicting flowers.,,,,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Print Collection. The New York Public Library",https://dp.la/thumb/bb0f5632a51285fed3a35ac8fc428062,https://digitalcollections.nypl.org/items/c54a00f0-c5c4-012f-e9be-58d385a7bc34
cc620bcff93743875f879401b3cd195b,"Valentines, Raphael Tuck",,"Norcross, Arthur Dickinson, d. 1968, Tuck, Raphael, fl. 1880s, Norcross Greeting Card Company (New York (N.Y.)), Rust Craft Publishers (Boston, Mass.), Rust, Fred Winslow, 1877?-1949, Prang, Louis, fl. 1880-1900, Chase, Ernest Dudley, fl. 1920s, Rust Craft Greeting Card Company (Dedham (Mass.))",,"Archives Center, National Museum of American History",https://dp.la/thumb/cc620bcff93743875f879401b3cd195b,http://collections.si.edu/search/results.htm?q=record_ID=NMAH.AC.0058_ref402&repo=DPLA
cc793bfccd071948dacb402fea1673b3,Valentine from Clara M. Langland to Judith G. Wood Langland,,"Langland, Clara M, Langland, Judith G. Wood","Valentine from Mrs. C. M. Langland, probably to Judy Langland, on card ”Valentine Greetings across the miles.”","Special Collections and University Archives, University of Massachusetts Amherst Libraries",https://dp.la/thumb/cc793bfccd071948dacb402fea1673b3,https://credo.library.umass.edu/view/full/mufs181-b001-f075-i002
ccac75ce815c6fbf741d742858720ec0,[227a] St. Valentines Greeting - Woman's sphere is in the HOME (version 2) [front],,International Art Publishing Company,https://scholarworks.uni.edu/suffrage_images/1454/thumbnail.jpg,University of Northern Iowa,https://dp.la/thumb/ccac75ce815c6fbf741d742858720ec0,https://scholarworks.uni.edu/suffrage_images/453
ce010966b69e433a9067bc8867f2389a,Postcard from Helena Kaprosynska to Weronika Rusin On colored pictorial postcard with man and woman: 'To my valentine',,"Kaprosynska, Helena, Lesinski, Weronika Rusin","From a series of images of a Polish American family from Easthampton, Mass.","Special Collections and University Archives, University of Massachusetts Amherst Libraries",https://dp.la/thumb/ce010966b69e433a9067bc8867f2389a,https://credo.library.umass.edu/view/full/mums131-b02-f03-i010
da5f488186bb819c5aff54066d1ac313,Valentines social,,Octagonians Club,"An invitation card to a social event for Valentines Day. Female names, Kagumi, Dot, Nancy, Takeko, Hiroko, and Betty, are written. It was probably organized by the Octagonians Club in the Jerome camp…","California State University, Dominguez Hills, Archives and Special Collections",https://dp.la/thumb/da5f488186bb819c5aff54066d1ac313,http://cdm16855.contentdm.oclc.org/cdm/ref/collection/p16855coll4/id/35905
daa12d8470a5d7b7db0b3e6ece7bc032,"Valentines, 1969.",,"Smith, Del",Early Valentine were saved and used to add color to homes.,Oklahoma Historical Society,https://dp.la/thumb/daa12d8470a5d7b7db0b3e6ece7bc032,https://gateway.okhistory.org/ark:/67531/metadc2523979/
ecae9e94be58a516a2a140ae3e467af3,Valentine from Du Bois Williams to W. E. B. Du Bois,,"Williams, Y. Du Bois, Du Bois, W. E. B. (William Edward Burghardt), 1868-1963",This date is inferred. Valentine's greeting to ”Grandpa” complete with pencilled portrait on reverse and cupid-pasted doily.,"Special Collections and University Archives, University of Massachusetts Amherst Libraries",https://dp.la/thumb/ecae9e94be58a516a2a140ae3e467af3,https://credo.library.umass.edu/view/full/mums312-b090-i084
ecf7442272eda0b6202c145ddb300204,Valentines depicting flowers.,,,,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Print Collection. The New York Public Library",https://dp.la/thumb/ecf7442272eda0b6202c145ddb300204,https://digitalcollections.nypl.org/items/c61993a0-c5c4-012f-845e-58d385a7bc34
f132d665d46c184ad6e5ce1e1bb63847,Valentine,,,,Newberry Library,https://dp.la/thumb/f132d665d46c184ad6e5ce1e1bb63847,http://collections.carli.illinois.edu/cdm/ref/collection/nby_chicago/id/8350
fe5119c237614580fee8464e34f6bf44,Best Valentines Wishes,,Unknown,"Recto: [imprinted] Best Valentines Wishes. Design Copyrighted, John Winsch, 1914. [handwritten] Dallas, Tex. Verso: [imprinted] [illegible] Terminal Studio. 216 So. Houston Street, Dallas, Texas.",SMU Libraries,https://dp.la/thumb/fe5119c237614580fee8464e34f6bf44,http://digitalcollections.smu.edu/cdm/ref/collection/gcd/id/401
